"Document";"Document title";"Committee Code";"Dossier";"Dossier start date";"Dossier end date";"URL";"File"
"D00003/01";"Agenda 448th meeting";"C18106";"CMTD(2008)0004";"29/04/2008";"30/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=4&DS_ID=3&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=3&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00139/01";"Agenda of the 10th meeting of the Management Committee for the Common Organisation of the Agricultural Markets ";"C35000";"CMTD(2008)0061";"17/04/2008";"17/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=77&DS_ID=139&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=139&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00142/01";"DRAFT AGENDA 7th meeting of the FP7 'People' Programme Committee - Brussels, Monday, 21 April 2008";"C32200";"CMTD(2008)0062";"21/04/2008";"21/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=78&DS_ID=142&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=142&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00036/01";"SPECIFIC CONFIGURATION of the Programme Committee for the execution of the Specific Programme 'COOPERATION' implementing the Seventh Framework Programme   (2007-2013) of the European Community for research, technological   development and demonstration activities - Thursday 10 April 2008 - Draft Agenda  ";"C32001";"CMTD(2008)0014";"10/04/2008";"10/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=30&DS_ID=36&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=36&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00037/01";"SP – Cooperation: Nanotechnologies and nano-sciences, knowledge-based multifunctional materials - Draft Agenda of the 10th meeting of the Programme Committee for the Thematic Priority 4  ";"C32004";"CMTD(2008)0015";"29/04/2008";"29/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=31&DS_ID=37&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=37&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00053/01";"COM 43 agenda";"C13100";"CMTD(2008)0019";"04/04/2008";"04/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=35&DS_ID=53&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=53&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00057/01";"Agenda for the meeting of the Advisory Committee on Market Access (Aviation)  23/04/2008";"C06900";"CMTD(2008)0021";"23/04/2008";"23/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=37&DS_ID=57&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=57&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00062/01";"Draft agenda HAC 107";"C24700";"CMTD(2008)0024";"18/04/2008";"18/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=40&DS_ID=62&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=62&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00023/01";"The 73rd meeting of the Standing Committee on Organic Farming";"C06500";"CMTD(2008)0007";"15/04/2008";"16/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=23&DS_ID=23&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=23&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00024/01";"Agenda of the Committee meeting, GFL section of 15/04/2008";"C20406";"CMTD(2008)0008";"15/04/2008";"15/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=24&DS_ID=24&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=24&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00028/01";"Draft Agenda for meeting of the COMMITTEE FOR THE ADAPTATION TO SCIENTIFIC AND TECHNICAL PROGRESS OF EC-LEGISLATION ON WASTE (TAC) on REGULATION (EC) NO 850/2004 ON PERSISTENT ORGANIC POLLUTANTS AND AMENDING DIRECTIVE 79/117/EEC - Meeting date: 7th May 2008.  ";"C11700";"CMTD(2008)0009";"07/05/2008";"07/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=25&DS_ID=28&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=28&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00032/01";"COMMUNITY ACTION PROGRAMME IN THE SPHERE OF EMPLOYMENT AND SOCIAL SOLIDARITY – PROGRESS. Committee for the implementation of PROGRESS 2007-2013. Fourth meeting of the Programme Committee - 17 April 2008 -. Draft Annotated Agenda ";"C30300";"CMTD(2008)0011";"17/04/2008";"17/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=27&DS_ID=32&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=32&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00063/01";"2nd meeting of the C2013 Committee on 18 April 2008 - Draft Agenda - EN";"C34600";"CMTD(2008)0025";"18/04/2008";"18/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=41&DS_ID=63&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=63&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00093/01";"CIP-ICTC Meeting of 24 April 2008 - Draft Agenda";"C31200";"CMTD(2008)0044";"24/04/2008";"24/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=60&DS_ID=93&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=93&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00094/01";"Agenda of the 131st Customs Code Committee – Transit Section";"C18114";"CMTD(2008)0045";"07/04/2008";"07/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=61&DS_ID=94&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=94&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00106/01";"Agenda - Meeting of the Regulatory Committee established under Article 17 of Regulation (EC) nr 1980/2000 of 17 July 2000 of the European Parliament and of the Council on a revised Community Eco-label Award Scheme";"C12000";"CMTD(2008)0051";"24/04/2008";"24/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=67&DS_ID=106&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=106&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00069/01";"Agenda - Standing Committee on Zootechnics";"C20500";"CMTD(2008)0027";"08/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=43&DS_ID=69&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=69&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00084/01";"Adenda - 16 April 2008 - Standing Committee on Community Plant and variety Rights";"C19900";"CMTD(2008)0026";"16/04/2008";"16/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=42&DS_ID=84&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=84&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00085/01";"Invitation/agenda to the next seeds committee to be held on 16 April. (Point of the Committee on CPVR) ";"C20300";"CMTD(2008)0018";"16/04/2008";"16/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=34&DS_ID=85&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=85&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00087/01";"RSCOM08-01 Draft Agenda RSC#23 Rev 4";"C15600";"CMTD(2008)0039";"02/04/2008";"03/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=55&DS_ID=87&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=87&version=1&AttLang=en&db_number=1&docType=AGENDA"
