"Document";"Document title";"Committee Code";"Dossier";"Dossier start date";"Dossier end date";"URL";"File"
"D00098/01";"Summary Report of the 168th Meeting of the Community Committee for the Farm Accountancy Data Network";"C04000";"CMTD(2008)0047";"01/04/2008";"01/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=63&DS_ID=98&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=98&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00101/01";"Short minutes and presence liste of the LLP Committee meeting from 7 and 8 April 2008";"C30800";"CMTD(2008)0017";"07/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=33&DS_ID=101&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=101&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00129/01";"Summary Record for 8th Meeting of the ENPI Committee of 03/04/2008";"C31300";"CMTD(2008)0055";"03/04/2008";"03/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=71&DS_ID=129&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=129&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00250/01";"Summary Record of the 107th Meeting of the Humanitarian Aid Committee held on 18 April 2008";"C24700";"CMTD(2008)0024";"18/04/2008";"18/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=40&DS_ID=250&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=250&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00255/01";"Summary Report to the European Parliament within the framework of the implementation of the Comitology Decision - RSC#23  ";"C15600";"CMTD(2008)0039";"02/04/2008";"03/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=55&DS_ID=255&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=255&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00259/01";"Community Action Programme in the sphere of employment and Social Solidarity Progress(2007-2013) - Committee for the implementation of the PROGRESS - Summary of the fourth meeting of the Programme Committee - 18 April 2008  ";"C30300";"CMTD(2008)0011";"17/04/2008";"17/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=27&DS_ID=259&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=259&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00264/01";"Summary report of the Meeting held on 3 April 2008";"C02500";"CMTD(2008)0068";"03/04/2008";"03/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=84&DS_ID=264&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=264&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00265/01";"Summary report of the Meeting held on 3 April 2008 ";"C02900";"CMTD(2008)0069";"03/04/2008";"03/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=85&DS_ID=265&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=265&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00259/01";"Attendance list";"C30300";"CMTD(2008)0011";"17/04/2008";"17/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=27&DS_ID=259&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=259&version=1&AttLang=en&db_number=2&docType=SUMMARY_RECORD"
"D00252/01";"SUMMRY REPORT - 43rd MEETING OF THE COMMITTEE   FOR CIVIL AVIATION SECURITY  to be held in Brussels, 16-17 April 2008   ";"C09100";"CMTD(2008)0102";"16/04/2008";"17/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=118&DS_ID=252&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=252&version=1&AttLang=en&db_number=3&docType=SUMMARY_RECORD"
