"Document";"Document title";"Committee Code";"Dossier";"Dossier start date";"Dossier end date";"URL";"File"
"D00042/01";"Working groups on placements";"C30800";"CMTD(2008)0017";"07/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=33&DS_ID=42&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=42&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00043/01";"Preliminary draft budget 2009";"C30800";"CMTD(2008)0017";"07/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=33&DS_ID=43&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=43&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00044/01";"Update of the priorities of the call for proposals 2008-2010";"C30800";"CMTD(2008)0017";"07/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=33&DS_ID=44&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=44&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00045/01";"External evaluation of previous programmes";"C30800";"CMTD(2008)0017";"07/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=33&DS_ID=45&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=45&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00046/01";"Road maps of the centralised actions 2008 managed by the Executive agency";"C30800";"CMTD(2008)0017";"07/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=33&DS_ID=46&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=46&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00047/01";"Multilateral Partnerships - Selection 2008";"C30800";"CMTD(2008)0017";"07/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=33&DS_ID=47&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=47&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00048/01";"Background note on e-Twinning";"C30800";"CMTD(2008)0017";"07/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=33&DS_ID=48&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=48&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00071/02";"Revison cover letter: Vote on the draft Commission Communication on the results of the risk evaluation of Chlorodifluoromethane, Bis(pentabromophenyl)ether and Methenamine and on the risk reduction strategy for the substance Methenamine";"C12300";"CMTD(2008)0001";"03/04/2008";"15/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=1&DS_ID=71&Version=2";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=71&version=2&AttLang=en&db_number=1&docType=OTHER"
"D00145/01";"Memorandum to the Enpi Committee: Second Part of the Annual Action Programme covering the Regional Strategy Paper (2007-2013) and the Regional Indicative Programme (2007-2010) for the Euro-Mediterranean Partnership for 2008";"C31300";"CMTD(2008)0064";"07/04/2008";"11/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=80&DS_ID=145&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=145&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00148/01";"Memorandum to the Enpi Committee - Interregional Action Programme for the European Neighbourhood Policy Instrument for 2008 - part II";"C31300";"CMTD(2008)0065";"07/04/2008";"11/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=81&DS_ID=148&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=148&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00034/01";"WRITTEN PROCEDURE - LETTER - Grants to be awarded in the framework of the centralised selections relating to the call for proposals concerning the support for bodies active at European level in the field of youth (operating grants) under Action 4.1 of the Youth in Action Programme.";"C31100";"CMTD(2008)0013";"18/03/2008";"28/03/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=29&DS_ID=34&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=34&version=1&AttLang=en&db_number=1&docType=OTHER"
"D00038/01";"WRITTEN PROCEDURE - RESULT - Grants to be awarded in the framework of the centralised selections relating to the call for proposals concerning the support for bodies active at European level in the field of youth (operating grants) under Action 4.1 of the Youth in Action Programme.  ";"C31100";"CMTD(2008)0013";"18/03/2008";"28/03/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=29&DS_ID=38&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=38&version=1&AttLang=en&db_number=1&docType=OTHER"
